Account Number,Account ID,Account Name,Full Name,Type,Sub-Type,Active,Balance
210010,7,Accounts Payable,Accounts Payable,Accounts Payable,AccountsPayable,True,-215775.62
210020,265,Accounts Payable (A/P) - GBP,Accounts Payable (A/P) - GBP,Accounts Payable,AccountsPayable,True,0.0
210030,167,Accounts Payable - Other,Accounts Payable - Other,Accounts Payable,AccountsPayable,True,0.0
210040,286,Accounts Payable - Other - GBP,Accounts Payable - Other - GBP,Accounts Payable,AccountsPayable,True,0.0
120010,8,Accounts Receivable,Accounts Receivable,Accounts Receivable,AccountsReceivable,True,912935.55
120020,281,Accounts Receivable (A/R) - AED,Accounts Receivable (A/R) - AED,Accounts Receivable,AccountsReceivable,True,0.0
120030,280,Accounts Receivable (A/R) - EUR,Accounts Receivable (A/R) - EUR,Accounts Receivable,AccountsReceivable,True,0.0
120040,261,Accounts Receivable (A/R) - GBP,Accounts Receivable (A/R) - GBP,Accounts Receivable,AccountsReceivable,True,0.0
231000,170,Accrued Expenses,Accrued Expenses,Other Current Liability,OtherCurrentLiabilities,True,0.0
231010,171,Accrued 401k,Accrued Expenses:Accrued 401k,Other Current Liability,OtherCurrentLiabilities,True,0.0
231020,174,Accrued Bonus,Accrued Expenses:Accrued Bonus,Other Current Liability,OtherCurrentLiabilities,True,-357250.29
231030,175,Accrued Commission,Accrued Expenses:Accrued Commission,Other Current Liability,OtherCurrentLiabilities,True,0.0
231040,178,Accrued Expense,Accrued Expenses:Accrued Expense,Other Current Liability,OtherCurrentLiabilities,True,-103768.46
231050,173,Accrued Interest Payable,Accrued Expenses:Accrued Interest Payable,Other Current Liability,OtherCurrentLiabilities,True,0.0
231060,305,Accrued Legal fees,Accrued Expenses:Accrued Legal fees,Other Current Liability,OtherCurrentLiabilities,True,-10000.0
231070,172,Accrued Payroll,Accrued Expenses:Accrued Payroll,Other Current Liability,OtherCurrentLiabilities,True,438715.75
231080,277,Accrued Transaction Fees,Accrued Expenses:Accrued Transaction Fees,Other Current Liability,OtherCurrentLiabilities,True,0.0
231090,263,Accrued Vacation,Accrued Expenses:Accrued Vacation,Other Current Liability,OtherCurrentLiabilities,True,0.0
130010,279,Accrued Interest Receivable,Accrued Interest Receivable,Other Current Asset,OtherCurrentAssets,True,0.0
311000,11,Additional Paid-In Capital,Additional Paid-In Capital,Equity,PaidInCapitalOrSurplus,True,-19678982.0
311010,196,APIC - Common Stock,Additional Paid-In Capital:APIC - Common Stock,Equity,PaidInCapitalOrSurplus,True,-17247.77
311020,201,APIC - Expired Options,Additional Paid-In Capital:APIC - Expired Options,Equity,PaidInCapitalOrSurplus,True,0.0
311030,197,APIC - Series B Preferred,Additional Paid-In Capital:APIC - Series B Preferred,Equity,PaidInCapitalOrSurplus,True,0.0
311040,198,APIC - Series B-1 Preferred,Additional Paid-In Capital:APIC - Series B-1 Preferred,Equity,PaidInCapitalOrSurplus,True,-3470710.93
311050,1150040011,APIC - Series B-2 Preferred,Additional Paid-In Capital:APIC - Series B-2 Preferred,Equity,PaidInCapitalOrSurplus,True,-184926.78
311060,199,APIC - Stock Options,Additional Paid-In Capital:APIC - Stock Options,Equity,PaidInCapitalOrSurplus,True,-966776.17
311070,200,APIC - Warrants,Additional Paid-In Capital:APIC - Warrants,Equity,PaidInCapitalOrSurplus,True,0.0
130020,13,Allowance for Doubtful Accounts,Allowance for Doubtful Accounts,Other Current Asset,AllowanceForBadDebts,True,0.0
220010,1150040001,Amex CC,Amex CC,Credit Card,CreditCard,True,-8776.33
810010,14,Amortization Expense,Amortization Expense,Other Expense,Amortization,True,0.0
610010,15,Bad Debt,Bad Debt,Expense,BadDebts,True,0.0
110010,289,Bill.com Money Out Clearing,Bill.com Money Out Clearing,Bank,CashOnHand,True,0.0
410010,6,Billable Expense Income,Billable Expense Income,Income,ServiceFeeIncome,True,0.0
410020,304,Billable Expense Income-1,Billable Expense Income-1,Income,OtherPrimaryIncome,True,0.0
140010,17,Buildings,Buildings,Fixed Asset,Buildings,True,0.0
610020,38,Business Insurance,Business Insurance,Expense,Insurance,True,0.0
610030,23,Charitable Contributions,Charitable Contributions,Expense,CharitableContributions,True,0.0
220020,303,Chase CC - A.Ryan 2759,Chase CC - A.Ryan 2759,Credit Card,CreditCard,True,0.0
220030,302,Chase CC - A.Ryan 2759-1,Chase CC - A.Ryan 2759-1,Credit Card,CreditCard,True,0.0
220040,168,Chase CC - A.Ryan 7546,Chase CC - A.Ryan 7546,Credit Card,CreditCard,True,0.0
220050,266,Chase CC - K.Bird 0562,Chase CC - K.Bird 0562,Credit Card,CreditCard,True,0.0
220060,169,Chase CC - T.Irby 5733,Chase CC - T.Irby 5733,Credit Card,CreditCard,True,0.0
110020,267,Chase Operating - 8856,Chase Operating - 8856,Bank,Checking,True,1213033.23
110030,154,Chase Savings - 5357,Chase Savings - 5357,Bank,Savings,True,0.17
310010,21,Common Stock,Common Stock,Equity,CommonStock,True,-1752.59
130030,157,Concertiv CD - 5377,Concertiv CD - 5377,Other Current Asset,OtherCurrentAssets,True,0.0
810020,273,Contract Expenses,Contract Expenses,Other Expense,OtherMiscellaneousExpense,True,0.0
611000,22,Contractor Fees,Contractor Fees,Expense,CostOfLabor,True,0.0
611010,253,IT Security - Contractors,Contractor Fees:IT Security - Contractors,Expense,CostOfLabor,True,0.0
511000,24,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,SuppliesMaterialsCogs,True,0.0
512000,216,COS - Outsourced/India,Cost of Goods Sold:COS - Outsourced/India,Cost of Goods Sold,CostOfLaborCos,True,0.0
512010,217,COS - Outsourced/India - Allocation,Cost of Goods Sold:COS - Outsourced/India:COS - Outsourced/India - Allocation,Cost of Goods Sold,CostOfLaborCos,True,0.0
513000,214,COS - Professional/Consultants,Cost of Goods Sold:COS - Professional/Consultants,Cost of Goods Sold,CostOfLaborCos,True,0.0
513010,215,COS - Professional/Consultant - Allocation,Cost of Goods Sold:COS - Professional/Consultants:COS - Professional/Consultant - Allocation,Cost of Goods Sold,CostOfLaborCos,True,0.0
514000,95,COS - Staff,Cost of Goods Sold:COS - Staff,Cost of Goods Sold,CostOfLaborCos,True,0.0
514010,211,COS - 401k - ER,Cost of Goods Sold:COS - Staff:COS - 401k - ER,Cost of Goods Sold,CostOfLaborCos,True,0.0
514020,209,COS - Bonus/Commission,Cost of Goods Sold:COS - Staff:COS - Bonus/Commission,Cost of Goods Sold,CostOfLaborCos,True,0.0
514030,210,COS - Health Insurance/Benefits - ER,Cost of Goods Sold:COS - Staff:COS - Health Insurance/Benefits - ER,Cost of Goods Sold,CostOfLaborCos,True,0.0
514040,208,COS - Hourly/Variable,Cost of Goods Sold:COS - Staff:COS - Hourly/Variable,Cost of Goods Sold,CostOfLaborCos,True,0.0
