Account ID,Account Name,Type,Sub-Type,Active,Balance
1,Services,Income,ServiceFeeIncome,True,0.0
2,Retained Earnings,Equity,RetainedEarnings,True,0.0
3,Prepaid Expenses,Other Current Asset,PrepaidExpenses,True,0.0
4,Undeposited Funds,Other Current Asset,UndepositedFunds,True,2062.52
5,Fees Billed,Income,ServiceFeeIncome,True,0.0
6,Refunds-Allowances,Income,DiscountsRefundsGiven,True,0.0
7,Advertising,Expense,AdvertisingPromotional,True,0.0
8,Bank Charges,Expense,BankCharges,True,0.0
9,Commissions & fees,Expense,OtherMiscellaneousServiceCost,True,0.0
10,Dues & Subscriptions,Expense,DuesSubscriptions,True,0.0
11,Insurance,Expense,Insurance,True,0.0
12,Legal & Professional Fees,Expense,LegalProfessionalFees,True,0.0
13,Meals and Entertainment,Expense,EntertainmentMeals,True,0.0
14,Miscellaneous,Other Expense,OtherMiscellaneousExpense,True,0.0
15,Office Expenses,Expense,OfficeGeneralAdministrativeExpenses,True,0.0
16,Promotional,Expense,AdvertisingPromotional,True,0.0
17,Rent or Lease,Expense,RentOrLeaseOfBuildings,True,0.0
19,Stationery & Printing,Expense,OfficeGeneralAdministrativeExpenses,True,0.0
20,Supplies,Expense,SuppliesMaterials,True,0.0
21,Taxes & Licenses,Expense,TaxesPaid,True,0.0
22,Travel,Expense,Travel,True,0.0
23,Travel Meals,Expense,TravelMeals,True,0.0
24,Utilities,Expense,Utilities,True,0.0
25,Interest Earned,Other Income,InterestEarned,True,0.0
26,Other Portfolio Income,Other Income,OtherMiscellaneousIncome,True,0.0
27,Penalties & Settlements,Other Expense,PenaltiesSettlements,True,0.0
28,Disposal Fees,Expense,OtherMiscellaneousServiceCost,True,0.0
29,Equipment Rental,Expense,EquipmentRental,True,0.0
30,Uncategorized Income,Income,ServiceFeeIncome,True,0.0
31,Uncategorized Expense,Expense,OtherMiscellaneousServiceCost,True,0.0
32,Uncategorized Asset,Other Current Asset,OtherCurrentAssets,True,0.0
33,Accounts Payable (A/P),Accounts Payable,AccountsPayable,True,-1602.67
34,Opening Balance Equity,Equity,OpeningBalanceEquity,True,9337.5
35,Checking,Bank,Checking,True,1201.0
